Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /give.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /give.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /give.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /give.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /give.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:39] "GET /tough-mudder.html HTTP/1.1" 200 -
